Date,Time,WorldPrice,BTMHPrice,HuyThanhPrice
2025-05-20,00:00,10065230.0,,
2025-05-21,00:00,10154213.0,,
2025-05-22,00:00,10102051.0,,
2025-05-23,00:00,10320827.0,,
2025-05-27,00:00,10122916.0,,
2025-05-28,00:00,10106040.0,,
2025-05-29,00:00,10178147.0,,
2025-05-30,00:00,10091618.0,,
2025-06-02,00:00,10342306.0,,
2025-06-03,00:00,10279710.0,,
2025-06-04,00:00,10351204.0,,
2025-06-05,00:00,10281244.0,,
2025-06-06,00:00,10195330.0,,
2025-06-09,00:00,10224173.0,,
2025-06-10,00:00,10189806.0,,
2025-06-11,00:00,10191034.0,,
2025-06-12,00:00,10373909.0,,
2025-06-13,00:00,10528250.0,,
2025-06-16,00:00,10421469.0,,
2025-06-17,00:00,10391400.0,,
2025-06-18,00:00,10401219.0,,
2025-06-20,00:00,10334635.0,,
2025-06-23,00:00,10364091.0,,
2025-06-24,00:00,10179067.0,,
2025-06-25,00:00,10208831.0,,
2025-06-26,00:00,10228468.0,,
2025-06-27,00:00,10044979.0,,
2025-06-30,00:00,10108494.0,,
2025-07-01,00:00,10238287.0,,
2025-07-02,00:00,10272960.0,,
2025-07-03,00:00,10222639.0,,
2025-07-04,00:00,10225400.0,,
2025-07-07,00:00,10224479.0,,
2025-07-08,00:00,10147156.0,,
2025-07-09,00:00,10161271.0,,
2025-07-10,00:00,10179067.0,,
2025-07-11,00:00,10297507.0,,
2025-07-14,00:00,10283699.0,,
2025-07-15,00:00,10217115.0,,
2025-07-16,00:00,10286768.0,,
2025-07-17,00:00,10248720.0,,
2025-07-18,00:00,10288302.0,,
2025-07-21,00:00,10438346.0,,
2025-07-22,00:00,10552797.0,,
2025-07-23,00:00,10414413.0,,
2025-07-24,00:00,10343533.0,,
2025-07-25,00:00,10230002.0,,
2025-07-28,00:00,10153600.0,,
2025-07-29,00:00,10197477.0,,
2025-07-30,00:00,10112790.0,,
2025-07-31,00:00,10104812.0,,
2025-08-01,00:00,10272039.0,,
2025-08-04,00:00,10353965.0,,
2025-08-05,00:00,10376978.0,,
2025-08-06,00:00,10371148.0,,
2025-08-07,00:00,10433437.0,,
2025-08-08,00:00,10552490.0,,
2025-08-11,00:00,10288609.0,,
2025-08-12,00:00,10275721.0,,
2025-08-13,00:00,10305791.0,,
2025-08-14,00:00,10233684.0,,
2025-08-15,00:00,10236139.0,,
2025-08-18,00:00,10222945.0,,
2025-08-19,00:00,10166793.0,,
2025-08-20,00:00,10258845.0,,
2025-08-21,00:00,10238900.0,,
2025-08-22,00:00,10353965.0,,
2025-08-25,00:00,10352124.0,,
2025-08-26,00:00,10397537.0,,
2025-08-27,00:00,10446631.0,,
2025-08-28,00:00,10530091.0,,
2025-08-29,00:00,10658656.0,,
2025-09-02,00:00,10890933.0,,
2025-09-03,00:00,11025328.0,,
2025-09-04,00:00,10941255.0,,
2025-09-05,00:00,11086696.0,,
2025-09-08,00:00,11163099.0,,
2025-09-09,00:00,11179055.0,,
2025-09-10,00:00,11179975.0,,
2025-09-11,00:00,11159417.0,,
2025-09-12,00:00,11197771.0,,
2025-09-15,00:00,11298415.0,,
2025-09-16,00:00,11318973.0,,
2025-09-17,00:00,11297188.0,,
2025-09-18,00:00,11180282.0,,
2025-09-19,00:00,11265583.0,,
2025-09-22,00:00,11477915.0,,
2025-09-23,00:00,11600344.0,,
2025-09-24,00:00,11451528.0,,
2025-09-25,00:00,11466255.0,,
2025-09-26,00:00,11584082.0,,
2025-09-29,00:00,11724000.0,,
2025-09-30,00:00,11785061.0,,
2025-10-01,00:00,11866987.0,,
2025-10-02,00:00,11781686.0,,
2025-10-03,00:00,11907797.0,,
2025-10-06,00:00,12115526.0,,
2025-10-07,00:00,12201748.0,,
2025-10-08,00:00,12406410.0,,
2025-10-09,00:00,12108776.0,,
2025-10-10,00:00,12199600.0,,
2025-10-13,00:00,12606775.0,,
2025-10-14,00:00,12699134.0,,
2025-10-15,00:00,12816346.0,,
2025-10-16,00:00,13133311.0,,
2025-10-17,00:00,12856235.0,,
2025-10-20,00:00,13305753.0,,
2025-10-21,00:00,12542646.0,,
2025-10-22,00:00,12409784.0,,
2025-10-23,00:00,12658631.0,,
2025-10-24,00:00,12636845.0,,
2025-10-27,00:00,12279378.0,,
2025-10-28,00:00,12169837.0,,
2025-10-29,00:00,12223533.0,,
2025-10-30,00:00,12277537.0,,
2025-10-31,00:00,12218931.0,,
2025-11-03,00:00,12274469.0,,
2025-11-04,00:00,12113071.0,,
2025-11-05,00:00,12213101.0,,
2025-11-06,00:00,12211873.0,,
2025-11-07,00:00,12271707.0,,
2025-11-10,00:00,12616593.0,,
2025-11-11,00:00,12601251.0,,
2025-11-12,00:00,12900726.0,,
2025-11-13,00:00,12847029.0,,
2025-11-14,00:00,12542339.0,,
2025-11-17,00:00,12483119.0,,
2025-11-18,00:00,12461640.0,,
2025-11-19,00:00,12511962.0,,
2025-11-20,00:00,12446912.0,,
2025-11-21,00:00,12508893.0,,
2025-11-24,00:00,12555533.0,,
2025-11-25,00:00,12700668.0,,
2025-11-26,00:00,12780446.0,,
2025-11-28,00:00,12943377.0,,
2025-12-01,00:00,13007813.0,,
2025-12-02,00:00,12846110.0,,
2025-12-03,00:00,12885077.0,,
2025-12-04,00:00,12923432.0,,
2025-12-05,00:00,12926808.0,,
2025-12-08,00:00,12847951.0,,
2025-12-09,00:00,12907784.0,,
2025-12-10,00:00,12876179.0,,
2025-12-11,00:00,13149573.0,,
2025-12-12,00:00,13194371.0,,
2025-12-15,00:00,13214623.0,,
2025-12-16,00:00,13207872.0,,
2025-12-17,00:00,13339813.0,,
2025-12-18,00:00,13315266.0,,
2025-12-19,00:00,13382463.0,,
2025-12-22,00:00,13637753.0,,
2025-12-23,00:00,13754965.0,,
2025-12-24,00:00,13748215.0,,
2025-12-26,00:00,13897032.0,,
2025-12-29,00:00,13271081.0,,
2025-12-30,00:00,13409159.0,,
2025-12-31,00:00,13272615.0,,
2026-01-02,00:00,13238249.0,,
2026-01-05,00:00,13614126.0,,
2026-01-06,00:00,13753125.0,,
2026-01-07,00:00,13652174.0,,
